type,sex, age, ecactivity, worktype, commutetime, town,x,y
17044,M,36,working,adminetc,not commuting,586021,-564818,-1.20172e+06
17045,M,40,working,tradeandmoto,not commuting,586021,-563933,-1.20254e+06
17046,M,13,student,undef,not commuting,586021,-563933,-1.20254e+06
17047,M,11,student,undef,not commuting,586021,-563933,-1.20254e+06
17048,F,40,at home,undef,not commuting,586021,-563933,-1.20254e+06
17049,F,78,retired,undef,not commuting,586021,-563697,-1.20248e+06
17050,M,56,working,industry,not commuting,586021,-564003,-1.20256e+06
17051,F,25,working,industry,not commuting,586021,-564003,-1.20256e+06
17052,F,57,working,adminetc,not commuting,586021,-564003,-1.20256e+06
17053,F,32,working,tradeandmoto,not commuting,586021,-563915,-1.2027e+06
17054,M,12,student,undef,not commuting,586021,-563915,-1.2027e+06
17055,M,52,working,industry,not commuting,586021,-563477,-1.20168e+06
17056,F,51,working,industry,not commuting,586021,-563477,-1.20168e+06
17057,M,28,at home,undef,not commuting,586021,-563477,-1.20168e+06
17058,M,26,at home,undef,not commuting,586021,-563477,-1.20168e+06
17059,F,67,retired,undef,not commuting,586021,-564389,-1.20249e+06
17060,M,67,retired,undef,not commuting,586021,-564389,-1.20249e+06
17061,F,60,retired,undef,not commuting,586021,-562868,-1.20178e+06
17062,M,63,retired,undef,not commuting,586021,-562868,-1.20178e+06
17063,M,55,working,adminetc,not commuting,586021,-564698,-1.20182e+06
17064,M,65,retired,undef,not commuting,586021,-564424,-1.2022e+06
17065,F,65,retired,undef,not commuting,586021,-564424,-1.2022e+06
17066,F,72,retired,undef,not commuting,586021,-563703,-1.20277e+06
17067,M,46,at home,undef,not commuting,586021,-564351,-1.20177e+06
17068,F,49,at home,undef,not commuting,586021,-564351,-1.20177e+06
17069,M,5,at home,undef,not commuting,586021,-563910,-1.20202e+06
17070,F,27,at home,undef,not commuting,586021,-563910,-1.20202e+06
17071,M,67,retired,undef,not commuting,586021,-563878,-1.20194e+06
17072,F,43,working,eatinghousing,not commuting,586021,-563878,-1.20194e+06
17073,F,64,retired,undef,not commuting,586021,-563878,-1.20194e+06
17074,M,54,working,health,not commuting,586021,-563741,-1.20305e+06
17075,M,29,at home,undef,not commuting,586021,-563741,-1.20305e+06
17076,F,52,working,tradeandmoto,not commuting,586021,-563741,-1.20305e+06
17077,F,73,retired,undef,not commuting,586021,-565407,-1.20208e+06
17078,M,31,at home,undef,not commuting,586021,-564584,-1.20153e+06
17079,F,32,at home,undef,not commuting,586021,-564038,-1.20209e+06
17080,F,4,at home,undef,not commuting,586021,-564038,-1.20209e+06
17081,M,35,at home,undef,not commuting,586021,-564038,-1.20209e+06
17082,M,1,at home,undef,not commuting,586021,-564038,-1.20209e+06
17083,F,1,at home,undef,not commuting,586021,-564989,-1.20166e+06
17084,M,29,working,industry,not commuting,586021,-564989,-1.20166e+06
17085,F,49,at home,undef,not commuting,586021,-564989,-1.20166e+06
17086,M,68,retired,undef,not commuting,586021,-565326,-1.20183e+06
17087,F,67,retired,undef,not commuting,586021,-565326,-1.20183e+06
17088,F,15,working,tradeandmoto,not commuting,586021,-565550,-1.20173e+06
17089,M,40,working,industry,not commuting,586021,-565550,-1.20173e+06
17090,F,34,working,industry,not commuting,586021,-565550,-1.20173e+06
17091,M,41,working,construction,not commuting,586021,-564189,-1.20283e+06
17092,F,7,student,undef,not commuting,586021,-563425,-1.20167e+06
17093,M,37,working,tradeandmoto,not commuting,586021,-563425,-1.20167e+06
17094,F,29,at home,undef,not commuting,586021,-563425,-1.20167e+06
17095,F,1,at home,undef,not commuting,586021,-563425,-1.20167e+06
17096,M,31,at home,undef,not commuting,586021,-564867,-1.20168e+06
17097,F,58,at home,undef,not commuting,586021,-564867,-1.20168e+06
17098,F,36,at home,undef,not commuting,586021,-564058,-1.20291e+06
17099,F,34,working,adminetc,15 to 30 min,586021,-563687,-1.2019e+06
17100,M,28,at home,undef,not commuting,586021,-563687,-1.2019e+06
17101,M,16,student,undef,not commuting,586021,-563687,-1.2019e+06
17102,M,53,working,eatinghousing,not commuting,586021,-563663,-1.20281e+06
17103,M,39,working,tradeandmoto,not commuting,586021,-564592,-1.20135e+06
17104,F,3,at home,undef,not commuting,586021,-564592,-1.20135e+06
17105,F,33,at home,undef,not commuting,586021,-564592,-1.20135e+06
17106,M,32,working,health,not commuting,586021,-565511,-1.20214e+06
17107,F,72,retired,undef,not commuting,586021,-564185,-1.20193e+06
17108,F,26,working,education,not commuting,586021,-564584,-1.20153e+06
17109,M,37,working,industry,not commuting,586021,-564584,-1.20153e+06
17110,M,4,at home,undef,not commuting,586021,-564584,-1.20153e+06
17111,M,34,at home,undef,not commuting,586021,-564584,-1.20153e+06
17112,F,40,working,tradeandmoto,45 to 60 mins,586021,-564584,-1.20153e+06
17113,F,7,student,undef,not commuting,586021,-564584,-1.20153e+06
17114,F,23,at home,undef,not commuting,586021,-563735,-1.20289e+06
17115,F,20,at home,undef,not commuting,586021,-563735,-1.20289e+06
17116,M,43,working,construction,not commuting,586021,-563735,-1.20289e+06
17117,F,43,at home,undef,not commuting,586021,-563735,-1.20289e+06
17118,M,22,at home,undef,not commuting,586021,-563680,-1.20285e+06
17119,F,43,at home,undef,not commuting,586021,-563680,-1.20285e+06
17120,M,19,at home,undef,not commuting,586021,-563680,-1.20285e+06
17121,M,44,at home,undef,not commuting,586021,-563680,-1.20285e+06
17122,F,54,working,transportation,not commuting,586021,-563644,-1.20265e+06
17123,F,18,working,banks,not commuting,586021,-563644,-1.20265e+06
17124,M,30,working,construction,not commuting,586021,-563644,-1.20265e+06
17125,M,50,working,industry,not commuting,586021,-565203,-1.2016e+06
17126,F,49,working,industry,not commuting,586021,-565203,-1.2016e+06
17127,M,24,at home,undef,not commuting,586021,-565203,-1.2016e+06
17128,F,34,working,industry,not commuting,586021,-564356,-1.20326e+06
17129,F,0,at home,undef,not commuting,586021,-564356,-1.20326e+06
17130,F,47,working,adminetc,not commuting,586021,-563425,-1.20167e+06
17131,M,50,working,adminetc,not commuting,586021,-563425,-1.20167e+06
17132,F,24,working,adminetc,not commuting,586021,-563425,-1.20167e+06
17133,M,60,working,industry,not commuting,586021,-564917,-1.20184e+06
17134,F,21,at home,undef,not commuting,586021,-564917,-1.20184e+06
17135,F,33,at home,undef,not commuting,586021,-564917,-1.20184e+06
17136,F,56,working,industry,not commuting,586021,-564917,-1.20184e+06
17137,F,19,at home,undef,not commuting,586021,-563667,-1.20164e+06
17138,F,47,working,eatinghousing,not commuting,586021,-563667,-1.20164e+06
17139,F,16,student,undef,not commuting,586021,-563667,-1.20164e+06
17140,M,50,working,construction,not commuting,586021,-563667,-1.20164e+06
17141,M,34,working,industry,not commuting,586021,-564049,-1.20234e+06
17142,M,75,retired,undef,not commuting,586021,-564637,-1.20277e+06
17143,M,49,at home,undef,not commuting,586021,-564200,-1.20188e+06
17144,F,47,working,industry,not commuting,586021,-564200,-1.20188e+06
17145,M,21,working,it,not commuting,586021,-565830,-1.20221e+06
17146,F,55,working,education,not commuting,586021,-565830,-1.20221e+06
17147,M,55,working,tradeandmoto,not commuting,586021,-565830,-1.20221e+06
17148,M,27,at home,undef,not commuting,586021,-565830,-1.20221e+06
17149,F,43,at home,undef,not commuting,586021,-566437,-1.20368e+06
17150,M,41,working,adminetc,not commuting,586021,-566437,-1.20368e+06
17151,F,81,retired,undef,not commuting,586021,-563751,-1.20307e+06
17152,M,39,at home,undef,not commuting,586021,-564422,-1.2024e+06
17153,M,27,working,education,not commuting,586021,-563222,-1.20176e+06
17154,M,56,at home,undef,not commuting,586021,-563222,-1.20176e+06
17155,M,30,working,industry,not commuting,586021,-563222,-1.20176e+06
17156,F,51,working,industry,not commuting,586021,-563222,-1.20176e+06
17157,M,5,at home,undef,not commuting,586021,-563993,-1.20246e+06
17158,F,30,working,eatinghousing,not commuting,586021,-563993,-1.20246e+06
17159,M,35,working,it,not commuting,586021,-563993,-1.20246e+06
17160,F,48,working,construction,not commuting,586021,-565571,-1.20222e+06
17161,M,12,student,undef,not commuting,586021,-565571,-1.20222e+06
17162,F,25,at home,undef,not commuting,586021,-565571,-1.20222e+06
17163,F,27,at home,undef,not commuting,586021,-563751,-1.20307e+06
17164,M,34,at home,undef,not commuting,586021,-563751,-1.20307e+06
17165,F,2,at home,undef,not commuting,586021,-563644,-1.20265e+06
17166,F,13,student,undef,not commuting,586021,-563644,-1.20265e+06
17167,M,8,student,undef,not commuting,586021,-563644,-1.20265e+06
17168,F,36,working,industry,not commuting,586021,-563644,-1.20265e+06
17169,F,12,student,undef,not commuting,586021,-563644,-1.20265e+06
17170,F,36,at home,undef,not commuting,586021,-563680,-1.20285e+06
17171,F,6,student,undef,not commuting,586021,-563680,-1.20285e+06
17172,M,40,at home,undef,not commuting,586021,-563680,-1.20285e+06
17173,F,1,at home,undef,not commuting,586021,-565367,-1.20203e+06
17174,F,34,working,transportation,not commuting,586021,-565367,-1.20203e+06
17175,M,34,working,adminetc,not commuting,586021,-565367,-1.20203e+06
17176,F,14,student,undef,not commuting,586021,-565367,-1.20203e+06
17177,M,1,at home,undef,not commuting,586021,-563767,-1.20298e+06
17178,M,27,working,tradeandmoto,60 to 90 mins,586021,-563767,-1.20298e+06
17179,F,27,working,adminetc,not commuting,586021,-563767,-1.20298e+06
17180,M,26,at home,undef,not commuting,586021,-563653,-1.2025e+06
17181,M,47,at home,undef,not commuting,586021,-563653,-1.2025e+06
17182,M,22,working,tradeandmoto,not commuting,586021,-563653,-1.2025e+06
17183,F,44,working,health,15 to 30 min,586021,-563653,-1.2025e+06
17184,F,65,retired,undef,not commuting,586021,-565270,-1.2015e+06
17185,M,31,working,tradeandmoto,not commuting,586021,-565270,-1.2015e+06
17186,M,65,retired,undef,not commuting,586021,-565270,-1.2015e+06
17187,F,21,at home,undef,not commuting,586021,-564991,-1.2018e+06
17188,F,44,working,industry,not commuting,586021,-564991,-1.2018e+06
17189,F,27,at home,undef,not commuting,586021,-563659,-1.20235e+06
17190,F,48,working,adminetc,not commuting,586021,-563659,-1.20235e+06
17191,M,50,working,education,not commuting,586021,-563659,-1.20235e+06
17192,F,22,at home,undef,not commuting,586021,-563659,-1.20235e+06
17193,M,10,student,undef,not commuting,586021,-563521,-1.20176e+06
17194,M,48,working,industry,60 to 90 mins,586021,-563521,-1.20176e+06
17195,M,19,working,construction,not commuting,586021,-563521,-1.20176e+06
17196,F,43,working,tradeandmoto,not commuting,586021,-563521,-1.20176e+06
17197,F,18,student,undef,not commuting,586021,-564270,-1.20233e+06
17198,F,15,working,education,not commuting,586021,-564270,-1.20233e+06
17199,M,1,at home,undef,not commuting,586021,-564270,-1.20233e+06
17200,M,39,working,health,not commuting,586021,-564270,-1.20233e+06
17201,F,38,at home,undef,not commuting,586021,-564270,-1.20233e+06
17202,F,16,student,undef,not commuting,586021,-563867,-1.20301e+06
17203,M,20,at home,undef,not commuting,586021,-563867,-1.20301e+06
17204,M,50,working,health,not commuting,586021,-563867,-1.20301e+06
17205,F,46,working,industry,not commuting,586021,-563867,-1.20301e+06
17206,M,27,at home,undef,not commuting,586021,-564891,-1.20162e+06
17207,F,46,working,industry,not commuting,586021,-564891,-1.20162e+06
17208,F,22,working,publicsector,not commuting,586021,-564891,-1.20162e+06
17209,M,48,working,education,not commuting,586021,-564891,-1.20162e+06
17210,M,16,student,undef,15 to 30 min,586021,-564039,-1.20275e+06
17211,M,18,student,undef,not commuting,586021,-564039,-1.20275e+06
17212,F,41,working,adminetc,not commuting,586021,-564039,-1.20275e+06
17213,M,40,working,tradeandmoto,not commuting,586021,-564039,-1.20275e+06
17214,F,47,at home,undef,not commuting,586021,-563957,-1.20198e+06
17215,M,24,working,construction,not commuting,586021,-563957,-1.20198e+06
17216,F,33,at home,undef,not commuting,586021,-563720,-1.20166e+06
17217,M,35,working,education,60 to 90 mins,586021,-563720,-1.20166e+06
17218,F,0,at home,undef,not commuting,586021,-563720,-1.20166e+06
17219,M,3,at home,undef,not commuting,586021,-563720,-1.20166e+06
17220,F,81,retired,undef,not commuting,586021,-563700,-1.20264e+06
17221,M,59,at home,undef,not commuting,586021,-563700,-1.20264e+06
17222,F,6,student,undef,not commuting,586021,-564596,-1.20236e+06
17223,M,9,student,undef,not commuting,586021,-564596,-1.20236e+06
17224,F,34,at home,undef,not commuting,586021,-564596,-1.20236e+06
17225,M,43,working,education,not commuting,586021,-564596,-1.20236e+06
17226,M,29,at home,undef,not commuting,586021,-564917,-1.20184e+06
17227,M,21,at home,undef,not commuting,586021,-563741,-1.20305e+06
17228,M,86,retired,undef,not commuting,586021,-564041,-1.20302e+06
17229,M,26,working,transportation,not commuting,586021,-563751,-1.20307e+06
17230,F,59,working,industry,not commuting,586021,-563751,-1.20307e+06
17231,M,62,retired,undef,not commuting,586021,-563751,-1.20307e+06
17232,M,19,at home,undef,not commuting,586021,-563680,-1.20285e+06
17233,M,48,at home,undef,not commuting,586021,-563680,-1.20285e+06
17234,F,41,at home,undef,not commuting,586021,-563680,-1.20285e+06
17235,F,16,student,undef,not commuting,586021,-563680,-1.20285e+06
17236,M,40,working,industry,not commuting,586021,-563046,-1.20177e+06
17237,M,20,working,health,not commuting,586021,-563046,-1.20177e+06
17238,F,38,working,industry,not commuting,586021,-563046,-1.20177e+06
17239,M,71,retired,undef,not commuting,586021,-563708,-1.20295e+06
17240,F,71,retired,undef,not commuting,586021,-563708,-1.20295e+06
17241,M,46,working,health,not commuting,586021,-563667,-1.20164e+06
17242,F,75,retired,undef,not commuting,586021,-564301,-1.20308e+06
17243,M,49,working,tradeandmoto,not commuting,586021,-565647,-1.20182e+06
17244,F,51,working,industry,not commuting,586021,-565647,-1.20182e+06
17245,M,36,working,industry,not commuting,586021,-565519,-1.20194e+06
17246,F,66,retired,undef,not commuting,586021,-562702,-1.20162e+06
17247,M,58,working,industry,not commuting,586021,-563915,-1.2027e+06
17248,F,59,at home,undef,not commuting,586021,-565111,-1.20165e+06
17249,F,33,working,industry,less than 15min,586021,-565111,-1.20165e+06
17250,M,57,at home,undef,not commuting,586021,-563173,-1.20173e+06
17251,F,71,retired,undef,not commuting,586021,-564388,-1.20155e+06
17252,M,67,retired,undef,not commuting,586021,-564388,-1.20155e+06
17253,F,100,retired,undef,not commuting,586021,-565111,-1.20165e+06
17254,F,26,working,eatinghousing,not commuting,586021,-565855,-1.2023e+06
17255,M,31,working,publicsector,not commuting,586021,-565855,-1.2023e+06
17256,F,60,retired,undef,not commuting,586021,-565608,-1.20194e+06
17257,M,64,retired,undef,not commuting,586021,-565608,-1.20194e+06
17258,M,53,working,education,not commuting,586021,-564208,-1.20196e+06
17259,M,27,working,eatinghousing,not commuting,586021,-563827,-1.20261e+06
17260,F,56,working,industry,not commuting,586021,-563827,-1.20261e+06
17261,F,77,working,health,not commuting,586021,-563819,-1.20271e+06
17262,M,73,retired,undef,not commuting,586021,-565463,-1.20164e+06
17263,F,19,at home,undef,not commuting,586021,-565465,-1.20207e+06
17264,F,49,working,tradeandmoto,not commuting,586021,-565465,-1.20207e+06
17265,F,69,retired,undef,not commuting,586021,-565465,-1.20207e+06
17266,F,74,retired,undef,not commuting,586021,-564636,-1.20262e+06
17267,M,77,retired,undef,not commuting,586021,-564636,-1.20262e+06
17268,M,27,working,industry,not commuting,586021,-565191,-1.20191e+06
17269,F,57,working,industry,not commuting,586021,-565191,-1.20191e+06
17270,M,55,working,construction,not commuting,586021,-563665,-1.20195e+06
17271,F,52,working,eatinghousing,not commuting,586021,-563665,-1.20195e+06
17272,F,64,retired,undef,not commuting,586021,-564114,-1.20273e+06
17273,F,40,working,publicsector,15 to 30 min,586021,-565619,-1.20209e+06
17274,M,17,student,undef,not commuting,586021,-565619,-1.20209e+06
17275,F,67,retired,undef,not commuting,586021,-563883,-1.2023e+06
17276,M,61,retired,undef,not commuting,586021,-564913,-1.20156e+06
17277,F,85,retired,undef,not commuting,586021,-563611,-1.2024e+06
17278,F,55,at home,undef,not commuting,586021,-563764,-1.20269e+06
17279,F,60,working,tradeandmoto,60 to 90 mins,586021,-564854,-1.20183e+06
17280,M,66,retired,undef,not commuting,586021,-564628,-1.20269e+06
17281,F,65,retired,undef,not commuting,586021,-564628,-1.20269e+06
17282,F,27,working,tradeandmoto,not commuting,586021,-565823,-1.20216e+06
17283,F,58,working,publicsector,less than 15min,586021,-565823,-1.20216e+06
17284,M,37,at home,undef,not commuting,586021,-564374,-1.20321e+06
17285,M,65,retired,undef,not commuting,586021,-564374,-1.20321e+06
17286,F,65,retired,undef,not commuting,586021,-564374,-1.20321e+06
17287,F,52,working,industry,not commuting,586021,-565737,-1.20215e+06
17288,F,27,at home,undef,not commuting,586021,-565737,-1.20215e+06
17289,F,24,working,tradeandmoto,not commuting,586021,-564534,-1.2021e+06
17290,F,46,working,industry,not commuting,586021,-564534,-1.2021e+06
17291,F,16,student,undef,less than 15min,586021,-564534,-1.2021e+06
17292,M,25,working,construction,not commuting,586021,-563052,-1.20107e+06
17293,F,26,at home,undef,not commuting,586021,-563052,-1.20107e+06
17294,M,26,working,publicsector,not commuting,586021,-564991,-1.2018e+06
17295,F,999,retired,undef,not commuting,586021,-563890,-1.2019e+06
17296,F,70,retired,undef,not commuting,586021,-564194,-1.20237e+06
17297,M,32,working,industry,45 to 60 mins,586021,-564317,-1.20314e+06
17298,F,43,working,industry,not commuting,586021,-563751,-1.20307e+06
17299,M,24,at home,undef,not commuting,586021,-563751,-1.20307e+06
17300,M,47,working,publicsector,not commuting,586021,-563751,-1.20307e+06
17301,F,60,retired,undef,not commuting,586021,-564917,-1.20184e+06
17302,M,26,working,adminetc,not commuting,586021,-564206,-1.20304e+06
17303,F,68,retired,undef,not commuting,586021,-563679,-1.20256e+06
17304,M,41,at home,undef,not commuting,586021,-563966,-1.20229e+06
17305,F,65,retired,undef,not commuting,586021,-565233,-1.20161e+06
17306,M,70,retired,undef,not commuting,586021,-565233,-1.20161e+06
17307,M,62,retired,undef,not commuting,586021,-564239,-1.20249e+06
17308,F,21,at home,undef,not commuting,586021,-563769,-1.20136e+06
17309,F,75,retired,undef,not commuting,586021,-563472,-1.20175e+06
17310,F,91,retired,undef,not commuting,586021,-565121,-1.2018e+06
17311,F,28,at home,undef,not commuting,586021,-565121,-1.2018e+06
17312,F,67,retired,undef,not commuting,586021,-565121,-1.2018e+06
17313,M,56,at home,undef,not commuting,586021,-565121,-1.2018e+06
17314,M,30,at home,undef,not commuting,586021,-565121,-1.2018e+06
17315,F,67,retired,undef,not commuting,586021,-565557,-1.20184e+06
17316,M,66,retired,undef,not commuting,586021,-565557,-1.20184e+06
17317,F,26,working,adminetc,not commuting,586021,-565761,-1.20209e+06
17318,M,52,working,transportation,not commuting,586021,-564131,-1.20192e+06
17319,F,36,working,education,not commuting,586021,-564374,-1.20321e+06
17320,F,57,working,publicsector,15 to 30 min,586021,-563977,-1.20308e+06
17321,M,69,retired,undef,not commuting,586021,-562924,-1.20169e+06
17322,M,86,retired,undef,not commuting,586021,-563739,-1.20191e+06
17323,F,68,retired,undef,not commuting,586021,-564151,-1.20283e+06
17324,F,38,working,industry,not commuting,586021,-564818,-1.20172e+06
17325,F,65,retired,undef,not commuting,586021,-564388,-1.20175e+06
17326,F,79,retired,undef,not commuting,586021,-565411,-1.20174e+06
17327,F,30,at home,undef,not commuting,586021,-565834,-1.20204e+06
17328,M,39,working,health,not commuting,586021,-564205,-1.20231e+06
17329,F,42,working,construction,not commuting,586021,-564310,-1.20291e+06
17330,M,61,retired,undef,not commuting,586021,-563060,-1.20183e+06
17331,F,67,retired,undef,not commuting,586021,-565843,-1.20173e+06
17332,F,77,retired,undef,not commuting,586021,-564989,-1.20166e+06
17333,F,80,retired,undef,not commuting,586021,-563513,-1.20181e+06
17334,M,66,retired,undef,not commuting,586021,-563824,-1.20259e+06
17335,F,64,retired,undef,not commuting,586021,-563824,-1.20259e+06
17336,F,43,working,publicsector,not commuting,586021,-564584,-1.20153e+06
17337,M,20,at home,undef,not commuting,586021,-564584,-1.20153e+06
17338,M,44,at home,undef,not commuting,586021,-564584,-1.20153e+06
17339,M,31,working,publicsector,not commuting,586021,-563803,-1.2022e+06
17340,F,56,at home,undef,not commuting,586021,-563803,-1.2022e+06
17341,M,70,retired,undef,not commuting,586021,-563803,-1.2022e+06
17342,F,68,retired,undef,not commuting,586021,-564723,-1.20335e+06
17343,M,70,retired,undef,not commuting,586021,-564723,-1.20335e+06
17344,F,19,at home,undef,not commuting,586021,-565571,-1.20222e+06
17345,F,45,working,education,not commuting,586021,-565571,-1.20222e+06
17346,M,49,working,industry,not commuting,586021,-565571,-1.20222e+06
17347,F,24,working,adminetc,not commuting,586021,-565571,-1.20222e+06
17348,M,33,working,adminetc,not commuting,586021,-564043,-1.20322e+06
17349,F,10,student,undef,not commuting,586021,-564043,-1.20322e+06
17350,M,3,at home,undef,not commuting,586021,-564043,-1.20322e+06
17351,F,32,working,industry,not commuting,586021,-564043,-1.20322e+06
17352,F,51,working,publicsector,not commuting,586021,-564587,-1.20184e+06
17353,M,43,at home,undef,not commuting,586021,-564587,-1.20184e+06
17354,F,42,working,industry,not commuting,586021,-565502,-1.20163e+06
17355,M,51,working,tradeandmoto,not commuting,586021,-565502,-1.20163e+06
17356,M,13,student,undef,not commuting,586021,-565502,-1.20163e+06
17357,F,82,retired,undef,not commuting,586021,-563414,-1.20148e+06
17358,M,83,retired,undef,not commuting,586021,-563414,-1.20148e+06
17359,F,2,at home,undef,not commuting,586021,-563712,-1.2029e+06
17360,M,18,student,undef,not commuting,586021,-563712,-1.2029e+06
17361,M,15,student,undef,60 to 90 mins,586021,-563712,-1.2029e+06
17362,F,38,at home,undef,not commuting,586021,-563712,-1.2029e+06
17363,M,41,working,industry,not commuting,586021,-563712,-1.2029e+06
17364,F,14,student,undef,not commuting,586021,-564185,-1.20193e+06
17365,F,20,at home,undef,not commuting,586021,-564185,-1.20193e+06
17366,F,45,at home,undef,not commuting,586021,-564185,-1.20193e+06
17367,M,25,working,tradeandmoto,not commuting,586021,-565799,-1.2023e+06
17368,F,56,working,industry,not commuting,586021,-565799,-1.2023e+06
17369,M,59,at home,undef,not commuting,586021,-565799,-1.2023e+06
17370,M,41,working,industry,not commuting,586021,-564018,-1.20206e+06
17371,F,4,at home,undef,not commuting,586021,-564018,-1.20206e+06
17372,F,2,at home,undef,not commuting,586021,-564018,-1.20206e+06
17373,F,41,working,industry,not commuting,586021,-564018,-1.20206e+06
17374,M,59,working,adminetc,not commuting,586021,-564481,-1.20129e+06
17375,F,59,at home,undef,not commuting,586021,-564481,-1.20129e+06
17376,M,52,working,industry,not commuting,586021,-564034,-1.20193e+06
17377,M,21,at home,undef,not commuting,586021,-564034,-1.20193e+06
17378,M,20,at home,undef,not commuting,586021,-564991,-1.2018e+06
17379,M,52,working,industry,not commuting,586021,-564991,-1.2018e+06
17380,M,24,at home,undef,not commuting,586021,-564991,-1.2018e+06
17381,F,57,at home,undef,not commuting,586021,-564991,-1.2018e+06
17382,F,39,working,eatinghousing,not commuting,586021,-563659,-1.20235e+06
17383,F,8,student,undef,not commuting,586021,-563659,-1.20235e+06
17384,M,49,working,industry,not commuting,586021,-563659,-1.20235e+06
17385,F,54,at home,undef,not commuting,586021,-564239,-1.20311e+06
17386,M,55,at home,undef,not commuting,586021,-564239,-1.20311e+06
17387,M,8,student,undef,not commuting,586021,-563741,-1.20305e+06
17388,F,70,retired,undef,not commuting,586021,-563741,-1.20305e+06
17389,F,61,retired,undef,not commuting,586021,-562918,-1.20164e+06
17390,F,85,retired,undef,not commuting,586021,-562918,-1.20164e+06
17391,F,61,working,tradeandmoto,not commuting,586021,-563613,-1.2018e+06
17392,F,39,working,construction,not commuting,586021,-563613,-1.2018e+06
17393,M,62,retired,undef,not commuting,586021,-563613,-1.2018e+06
17394,F,22,working,industry,not commuting,586021,-564791,-1.20187e+06
17395,F,42,working,eatinghousing,not commuting,586021,-564791,-1.20187e+06
17396,M,47,at home,undef,not commuting,586021,-564791,-1.20187e+06
17397,F,5,at home,undef,not commuting,586021,-564158,-1.202e+06
17398,M,37,at home,undef,not commuting,586021,-564158,-1.202e+06
17399,F,33,working,education,not commuting,586021,-564158,-1.202e+06
17400,F,52,at home,undef,not commuting,586021,-563613,-1.2018e+06
17401,M,27,working,industry,not commuting,586021,-563613,-1.2018e+06
17402,M,22,at home,undef,not commuting,586021,-563613,-1.2018e+06
17403,M,79,retired,undef,not commuting,586021,-563767,-1.20298e+06
17404,F,73,retired,undef,not commuting,586021,-563767,-1.20298e+06
17405,F,60,retired,undef,not commuting,586021,-564018,-1.20206e+06
17406,M,71,retired,undef,not commuting,586021,-564018,-1.20206e+06
17407,M,0,at home,undef,not commuting,586021,-564668,-1.20198e+06
17408,M,3,at home,undef,not commuting,586021,-564668,-1.20198e+06
17409,M,34,working,transportation,not commuting,586021,-564668,-1.20198e+06
17410,F,28,working,industry,not commuting,586021,-564668,-1.20198e+06
17411,F,69,retired,undef,not commuting,586021,-563575,-1.20175e+06
17412,M,68,retired,undef,not commuting,586021,-563575,-1.20175e+06
17413,F,18,student,undef,not commuting,586021,-563667,-1.20164e+06
17414,M,40,working,it,not commuting,586021,-563667,-1.20164e+06
17415,F,35,working,tradeandmoto,not commuting,586021,-563667,-1.20164e+06
17416,F,12,student,undef,not commuting,586021,-563667,-1.20164e+06
17417,M,65,retired,undef,not commuting,586021,-565566,-1.20182e+06
17418,F,53,at home,undef,not commuting,586021,-565566,-1.20182e+06
17419,M,5,at home,undef,not commuting,586021,-563667,-1.20164e+06
17420,F,999,retired,undef,not commuting,586021,-563667,-1.20164e+06
17421,M,36,working,publicsector,not commuting,586021,-563788,-1.20227e+06
17422,F,31,working,industry,not commuting,586021,-563788,-1.20227e+06
17423,F,12,student,undef,not commuting,586021,-564891,-1.20162e+06
17424,F,17,student,undef,not commuting,586021,-564891,-1.20162e+06
17425,F,37,at home,undef,not commuting,586021,-564891,-1.20162e+06
17426,F,67,retired,undef,not commuting,586021,-564709,-1.2008e+06
17427,M,68,retired,undef,not commuting,586021,-564709,-1.2008e+06
17428,M,26,working,transportation,not commuting,586021,-563712,-1.2029e+06
17429,M,33,working,adminetc,not commuting,586021,-564388,-1.20175e+06
17430,F,59,working,tradeandmoto,not commuting,586021,-564388,-1.20175e+06
17431,F,56,at home,undef,not commuting,586021,-564389,-1.20249e+06
17432,M,58,at home,undef,not commuting,586021,-564389,-1.20249e+06
17433,M,46,working,tradeandmoto,not commuting,586021,-564052,-1.20242e+06
17434,M,33,working,tradeandmoto,more than 90 mins,586021,-565701,-1.20226e+06
17435,M,43,at home,undef,not commuting,586021,-565121,-1.2018e+06
17436,M,7,student,undef,not commuting,586021,-565121,-1.2018e+06
17437,F,35,working,industry,not commuting,586021,-565121,-1.2018e+06
17438,M,34,working,publicsector,not commuting,586021,-564389,-1.20249e+06
17439,F,59,at home,undef,not commuting,586021,-564867,-1.20168e+06
17440,M,64,working,publicsector,45 to 60 mins,586021,-564867,-1.20168e+06
17441,M,42,working,tradeandmoto,not commuting,586021,-564239,-1.20311e+06
17442,F,67,retired,undef,not commuting,586021,-564239,-1.20311e+06
17443,F,67,retired,undef,not commuting,586021,-564018,-1.20206e+06
17444,M,45,working,transportation,not commuting,586021,-564018,-1.20206e+06
17445,F,29,working,construction,not commuting,586021,-563816,-1.20192e+06
17446,M,29,working,industry,not commuting,586021,-563816,-1.20192e+06
17447,M,1,at home,undef,not commuting,586021,-563816,-1.20192e+06
17448,F,66,retired,undef,not commuting,586021,-563472,-1.20175e+06
17449,F,53,working,industry,not commuting,586021,-564516,-1.20179e+06
17450,M,2,at home,undef,not commuting,586021,-564021,-1.20228e+06
17451,F,33,working,industry,not commuting,586021,-564021,-1.20228e+06
17452,M,32,working,industry,30 to 45 mins,586021,-564021,-1.20228e+06
