type ,sex, age, ecactivity, worktype, commutetime, town,x,y
430,F,27.5,working,tradeandmoto,not commuting,529796,1051.8,5566.58
431,M,57.5,working,it,45 to 60 mins,529796,1051.8,5566.58
432,M,67.5,working,banks,not commuting,529796,1051.8,5566.58
433,M,37.5,working,publicsector,not commuting,529796,1052.07,5566.17
434,F,88,retired,undef,not commuting,529796,1052.07,5566.17
435,M,52.5,working,publicsector,not commuting,529796,1052.07,5566.17
436,M,47.5,working,transportation,not commuting,529796,1052.07,5566.17
437,M,57.5,working,industry,not commuting,529796,1052.14,5566.27
438,F,12.5,student,undef,not commuting,529796,1052.14,5566.27
439,F,62.5,retired,undef,not commuting,529796,1052.14,5566.27
440,M,37.5,working,publicsector,not commuting,529796,1052.14,5566.27
441,F,16.5,student,undef,45 to 60 mins,529796,1052.01,5565.88
442,M,67.5,retired,undef,not commuting,529796,1052.01,5565.88
443,F,12.5,student,undef,not commuting,529796,1052.01,5565.88
444,M,67.5,retired,undef,not commuting,529796,1052.01,5565.88
445,F,67.5,retired,undef,not commuting,529796,1051.62,5566.02
446,M,27.5,at home,undef,not commuting,529796,1051.62,5566.02
447,M,57.5,at home,undef,not commuting,529796,1051.62,5566.02
448,F,37.5,working,publicsector,not commuting,529796,1051.62,5566.02
449,F,67.5,retired,undef,not commuting,529796,1052.17,5565.88
450,M,47.5,at home,undef,not commuting,529796,1052.17,5565.88
451,M,47.5,working,education,not commuting,529796,1052.17,5565.88
452,F,8,student,undef,not commuting,529796,1052.17,5565.88
453,F,12.5,student,undef,not commuting,529796,1051.84,5566.18
454,F,47.5,working,eatinghousing,not commuting,529796,1051.84,5566.18
455,M,12.5,student,undef,not commuting,529796,1051.84,5566.18
456,F,8,student,undef,not commuting,529796,1051.84,5566.18
457,M,42.5,at home,undef,not commuting,529796,1052.14,5566.29
458,F,57.5,at home,undef,not commuting,529796,1052.14,5566.29
459,F,62.5,retired,undef,not commuting,529796,1052.14,5566.29
460,M,42.5,working,industry,not commuting,529796,1052.14,5566.29
461,F,22.5,working,tradeandmoto,not commuting,529796,1051.96,5566.85
462,F,82.5,retired,undef,not commuting,529796,1051.96,5566.85
463,F,52.5,at home,undef,not commuting,529796,1051.96,5566.85
464,F,62.5,retired,undef,not commuting,529796,1051.96,5566.85
465,M,3.5,at home,undef,not commuting,529796,1051.1,5565.82
466,F,32.5,at home,undef,not commuting,529796,1051.1,5565.82
467,F,82.5,retired,undef,not commuting,529796,1051.1,5565.82
468,F,57.5,working,transportation,more than 90 mins,529796,1051.1,5565.82
469,M,62.5,retired,undef,not commuting,529796,1051.71,5566.44
470,M,16.5,working,adminetc,not commuting,529796,1051.71,5566.44
471,M,37.5,working,transportation,not commuting,529796,1051.71,5566.44
472,M,67.5,retired,undef,not commuting,529796,1051.71,5566.44
473,F,32.5,working,banks,45 to 60 mins,529796,1051.86,5566.26
474,F,62.5,retired,undef,not commuting,529796,1051.86,5566.26
475,F,67.5,retired,undef,not commuting,529796,1051.86,5566.26
476,F,88,retired,undef,not commuting,529796,1051.86,5566.26
477,M,37.5,at home,undef,not commuting,529796,1051.46,5566.67
478,F,72.5,retired,undef,not commuting,529796,1051.46,5566.67
479,F,32.5,working,adminetc,not commuting,529796,1051.46,5566.67
480,M,72.5,retired,undef,not commuting,529796,1051.46,5566.67
481,F,16.5,working,banks,15 to 30 min,529796,1052.28,5566.34
482,F,57.5,at home,undef,not commuting,529796,1052.28,5566.34
483,M,42.5,working,agriculture,not commuting,529796,1052.28,5566.34
484,M,52.5,working,eatinghousing,30 to 45 mins,529796,1052.28,5566.34
485,F,32.5,working,transportation,30 to 45 mins,529796,1051.6,5565.92
486,M,57.5,working,eatinghousing,30 to 45 mins,529796,1051.6,5565.92
487,M,12.5,student,undef,not commuting,529796,1051.6,5565.92
488,M,27.5,working,industry,not commuting,529796,1051.6,5565.92
489,F,62.5,retired,undef,not commuting,529796,1051.21,5565.67
490,M,16.5,student,undef,60 to 90 mins,529796,1051.21,5565.67
491,M,57.5,working,tradeandmoto,not commuting,529796,1051.21,5565.67
492,M,67.5,retired,undef,not commuting,529796,1051.21,5565.67
493,F,3.5,at home,undef,not commuting,529796,1052.05,5566.58
494,F,27.5,at home,undef,not commuting,529796,1052.05,5566.58
495,M,1.5,at home,undef,not commuting,529796,1052.05,5566.58
496,F,22.5,at home,undef,not commuting,529796,1052.05,5566.58
497,F,37.5,working,industry,not commuting,529796,1052.16,5566.2
498,M,16.5,working,industry,not commuting,529796,1052.16,5566.2
499,M,52.5,working,health,not commuting,529796,1052.16,5566.2
500,M,37.5,working,adminetc,15 to 30 min,529796,1052.16,5566.2
501,F,82.5,retired,undef,not commuting,529796,1051.77,5566.09
502,F,12.5,student,undef,not commuting,529796,1051.77,5566.09
503,M,42.5,working,transportation,not commuting,529796,1051.77,5566.09
504,F,52.5,working,eatinghousing,not commuting,529796,1051.77,5566.09
505,M,47.5,working,health,not commuting,529796,1051.59,5566.8
506,F,47.5,working,adminetc,not commuting,529796,1051.59,5566.8
507,F,72.5,retired,undef,not commuting,529796,1051.59,5566.8
508,F,3.5,at home,undef,not commuting,529796,1051.59,5566.8
509,M,8,student,undef,not commuting,529796,1052.27,5566.37
510,F,52.5,working,transportation,not commuting,529796,1052.27,5566.37
511,M,42.5,working,industry,15 to 30 min,529796,1052.27,5566.37
512,F,82.5,retired,undef,not commuting,529796,1052.27,5566.37
513,M,42.5,at home,undef,not commuting,529796,1052.33,5565.94
514,M,19,student,undef,60 to 90 mins,529796,1052.33,5565.94
515,F,37.5,at home,undef,not commuting,529796,1052.33,5565.94
516,F,37.5,working,education,not commuting,529796,1052.33,5565.94
517,M,47.5,working,tradeandmoto,not commuting,529796,1051.22,5566.32
518,M,67.5,retired,undef,not commuting,529796,1051.22,5566.32
519,M,32.5,working,industry,not commuting,529796,1051.22,5566.32
520,M,8,student,undef,not commuting,529796,1051.22,5566.32
521,F,47.5,working,tradeandmoto,not commuting,529796,1051.97,5565.82
522,M,19,working,tradeandmoto,not commuting,529796,1051.97,5565.82
523,M,47.5,working,transportation,not commuting,529796,1051.97,5565.82
524,F,12.5,student,undef,not commuting,529796,1051.97,5565.82
525,F,57.5,working,publicsector,not commuting,529796,1052.26,5566.73
526,M,57.5,working,adminetc,30 to 45 mins,529796,1052.26,5566.73
527,F,37.5,working,industry,45 to 60 mins,529796,1052.26,5566.73
528,F,22.5,working,transportation,not commuting,529796,1052.26,5566.73
529,M,12.5,student,undef,not commuting,529796,1052.26,5566.59
530,M,47.5,at home,undef,not commuting,529796,1052.26,5566.59
531,F,32.5,working,eatinghousing,not commuting,529796,1052.26,5566.59
532,F,47.5,working,industry,not commuting,529796,1052.26,5566.59
533,F,77.5,retired,undef,not commuting,529796,1051.44,5566.84
534,F,52.5,at home,undef,not commuting,529796,1051.44,5566.84
535,M,57.5,working,transportation,not commuting,529796,1051.44,5566.84
536,F,16.5,working,tradeandmoto,not commuting,529796,1051.44,5566.84
537,F,57.5,at home,undef,not commuting,529796,1051.61,5566.49
538,F,12.5,student,undef,not commuting,529796,1051.61,5566.49
539,M,62.5,retired,undef,not commuting,529796,1051.61,5566.49
540,M,62.5,retired,undef,not commuting,529796,1051.61,5566.49
541,M,82.5,retired,undef,not commuting,529796,1051.35,5565.93
542,F,8,student,undef,not commuting,529796,1051.35,5565.93
543,F,42.5,working,construction,30 to 45 mins,529796,1051.35,5565.93
544,M,57.5,working,education,60 to 90 mins,529796,1051.35,5565.93
545,F,32.5,working,publicsector,more than 90 mins,529796,1051.69,5566.29
546,F,5.5,at home,undef,not commuting,529796,1051.69,5566.29
547,F,47.5,working,industry,not commuting,529796,1051.69,5566.29
548,M,27.5,at home,undef,not commuting,529796,1051.69,5566.29
549,M,3.5,at home,undef,not commuting,529796,1052.26,5566.48
550,F,37.5,working,industry,45 to 60 mins,529796,1052.26,5566.48
551,F,52.5,at home,undef,not commuting,529796,1052.26,5566.48
552,M,57.5,at home,undef,not commuting,529796,1052.26,5566.48
553,M,37.5,working,health,not commuting,529796,1052.33,5566.3
554,M,37.5,working,publicsector,not commuting,529796,1052.33,5566.3
555,M,82.5,retired,undef,not commuting,529796,1052.33,5566.3
556,M,62.5,working,tradeandmoto,not commuting,529796,1052.33,5566.3
557,F,52.5,working,tradeandmoto,not commuting,529796,1051.84,5565.83
558,M,27.5,at home,undef,not commuting,529796,1051.84,5565.83
559,F,27.5,at home,undef,not commuting,529796,1051.84,5565.83
560,M,16.5,student,undef,30 to 45 mins,529796,1051.84,5565.83
561,M,52.5,working,construction,15 to 30 min,529796,1051.25,5566.31
562,F,32.5,at home,undef,not commuting,529796,1051.25,5566.31
563,M,37.5,working,construction,not commuting,529796,1051.25,5566.31
564,F,47.5,working,education,45 to 60 mins,529796,1051.25,5566.31
565,F,52.5,working,construction,15 to 30 min,529796,1052.34,5566.19
566,F,42.5,working,transportation,not commuting,529796,1052.34,5566.19
567,M,67.5,retired,undef,not commuting,529796,1052.34,5566.19
568,M,16.5,student,undef,60 to 90 mins,529796,1052.34,5566.19
569,M,57.5,working,industry,less than 15min,529796,1051.35,5566.44
570,M,57.5,working,education,not commuting,529796,1051.35,5566.44
571,M,47.5,working,health,less than 15min,529796,1051.35,5566.44
572,F,32.5,working,tradeandmoto,not commuting,529796,1051.35,5566.44
573,M,62.5,working,adminetc,not commuting,529796,1051.85,5566.04
574,F,42.5,working,publicsector,not commuting,529796,1051.85,5566.04
575,F,67.5,retired,undef,not commuting,529796,1051.85,5566.04
576,F,8,student,undef,not commuting,529796,1051.85,5566.04
577,F,37.5,working,transportation,not commuting,529796,1051.8,5566.27
578,F,37.5,working,banks,30 to 45 mins,529796,1051.8,5566.27
579,F,32.5,working,health,not commuting,529796,1051.8,5566.27
580,M,8,student,undef,not commuting,529796,1051.8,5566.27
581,M,67.5,retired,undef,not commuting,529796,1052.29,5565.78
582,M,52.5,working,publicsector,not commuting,529796,1052.29,5565.78
583,M,57.5,working,industry,not commuting,529796,1052.29,5565.78
584,F,62.5,retired,undef,not commuting,529796,1052.29,5565.78
585,M,62.5,retired,undef,not commuting,529796,1051.15,5565.67
586,M,67.5,retired,undef,not commuting,529796,1051.15,5565.67
587,M,52.5,working,publicsector,not commuting,529796,1051.15,5565.67
588,M,16.5,working,health,not commuting,529796,1051.15,5565.67
589,F,57.5,at home,undef,not commuting,529796,1051.83,5566.61
590,F,32.5,at home,undef,not commuting,529796,1051.83,5566.61
591,F,52.5,working,transportation,not commuting,529796,1051.83,5566.61
592,F,62.5,working,publicsector,15 to 30 min,529796,1051.83,5566.61
593,F,42.5,at home,undef,not commuting,529796,1052.16,5565.67
594,F,12.5,student,undef,not commuting,529796,1052.16,5565.67
595,M,22.5,at home,undef,not commuting,529796,1052.16,5565.67
596,M,37.5,working,industry,45 to 60 mins,529796,1052.16,5565.67
597,M,12.5,student,undef,not commuting,529796,1052.03,5566.59
598,F,32.5,working,transportation,15 to 30 min,529796,1052.03,5566.59
599,M,37.5,working,tradeandmoto,not commuting,529796,1052.03,5566.59
600,F,47.5,working,industry,not commuting,529796,1052.03,5566.59
601,F,62.5,retired,undef,not commuting,529796,1051.79,5565.75
602,M,37.5,working,construction,30 to 45 mins,529796,1051.79,5565.75
603,F,47.5,working,it,not commuting,529796,1051.79,5565.75
604,M,77.5,retired,undef,not commuting,529796,1051.79,5565.75
605,M,12.5,student,undef,not commuting,529796,1052.3,5566.19
606,M,1.5,at home,undef,not commuting,529796,1052.3,5566.19
607,F,12.5,student,undef,not commuting,529796,1052.3,5566.19
608,F,32.5,working,tradeandmoto,not commuting,529796,1052.3,5566.19
609,F,57.5,working,industry,not commuting,529796,1052.26,5565.63
610,F,32.5,at home,undef,not commuting,529796,1052.26,5565.63
611,M,52.5,at home,undef,not commuting,529796,1052.26,5565.63
612,M,12.5,student,undef,not commuting,529796,1052.26,5565.63
613,M,37.5,at home,undef,not commuting,529796,1051.92,5566.32
614,F,57.5,at home,undef,not commuting,529796,1051.92,5566.32
615,F,62.5,retired,undef,not commuting,529796,1051.92,5566.32
616,M,8,student,undef,not commuting,529796,1051.92,5566.32
617,M,37.5,working,health,not commuting,529796,1051.73,5566.59
618,M,52.5,working,transportation,15 to 30 min,529796,1051.73,5566.59
619,M,32.5,working,publicsector,30 to 45 mins,529796,1051.73,5566.59
620,F,37.5,working,eatinghousing,45 to 60 mins,529796,1051.73,5566.59
621,F,62.5,retired,undef,not commuting,529796,1051.19,5566.22
622,F,3.5,at home,undef,not commuting,529796,1051.19,5566.22
623,M,57.5,at home,undef,not commuting,529796,1051.19,5566.22
624,F,52.5,at home,undef,not commuting,529796,1051.19,5566.22
625,F,16.5,student,undef,30 to 45 mins,529796,1051.19,5566.22
626,M,1.5,at home,undef,not commuting,529796,1051.95,5566.2
627,M,32.5,working,tradeandmoto,not commuting,529796,1051.95,5566.2
628,F,1.5,at home,undef,not commuting,529796,1051.95,5566.2
629,F,72.5,retired,undef,not commuting,529796,1051.95,5566.2
630,F,52.5,working,industry,not commuting,529796,1051.95,5566.2
631,F,72.5,retired,undef,not commuting,529796,1051.16,5566.62
632,F,42.5,working,it,not commuting,529796,1051.16,5566.62
633,M,62.5,retired,undef,not commuting,529796,1051.16,5566.62
634,F,47.5,working,eatinghousing,15 to 30 min,529796,1051.16,5566.62
635,M,57.5,working,publicsector,not commuting,529796,1051.16,5566.62
636,F,37.5,working,banks,15 to 30 min,529796,1051.3,5566.38
637,M,42.5,working,it,not commuting,529796,1051.3,5566.38
638,F,32.5,at home,undef,not commuting,529796,1051.3,5566.38
639,F,62.5,retired,undef,not commuting,529796,1051.3,5566.38
640,F,67.5,retired,undef,not commuting,529796,1051.3,5566.38
641,F,72.5,retired,undef,not commuting,529796,1051.15,5566.16
642,M,37.5,working,publicsector,not commuting,529796,1051.15,5566.16
643,M,62.5,working,adminetc,not commuting,529796,1051.15,5566.16
644,M,5.5,at home,undef,not commuting,529796,1051.15,5566.16
645,M,52.5,working,education,45 to 60 mins,529796,1051.15,5566.16
646,M,12.5,student,undef,not commuting,529796,1052.25,5566.5
647,M,3.5,at home,undef,not commuting,529796,1052.25,5566.5
648,M,57.5,at home,undef,not commuting,529796,1052.25,5566.5
649,F,22.5,at home,undef,not commuting,529796,1052.25,5566.5
650,F,77.5,retired,undef,not commuting,529796,1052.25,5566.5
651,M,27.5,working,construction,not commuting,529796,1051.33,5565.88
652,F,27.5,working,tradeandmoto,not commuting,529796,1051.33,5565.88
653,F,32.5,at home,undef,not commuting,529796,1051.33,5565.88
654,F,57.5,at home,undef,not commuting,529796,1051.33,5565.88
655,M,62.5,working,transportation,not commuting,529796,1051.33,5565.88
656,M,22.5,at home,undef,not commuting,529796,1052.29,5566.21
657,M,47.5,working,eatinghousing,30 to 45 mins,529796,1052.29,5566.21
658,M,47.5,working,it,not commuting,529796,1052.29,5566.21
659,M,37.5,at home,undef,not commuting,529796,1052.29,5566.21
660,F,47.5,working,construction,less than 15min,529796,1052.29,5566.21
661,F,27.5,at home,undef,not commuting,529796,1051.98,5566.51
662,M,52.5,working,tradeandmoto,not commuting,529796,1051.98,5566.51
663,F,62.5,retired,undef,not commuting,529796,1051.98,5566.51
664,F,62.5,working,adminetc,not commuting,529796,1051.98,5566.51
665,F,67.5,retired,undef,not commuting,529796,1051.98,5566.51
666,M,52.5,at home,undef,not commuting,529796,1052.28,5566.02
667,M,67.5,retired,undef,not commuting,529796,1052.28,5566.02
668,M,72.5,retired,undef,not commuting,529796,1052.28,5566.02
669,F,62.5,retired,undef,not commuting,529796,1052.28,5566.02
670,M,57.5,working,construction,less than 15min,529796,1052.28,5566.02
671,M,42.5,at home,undef,not commuting,529796,1052.08,5566.26
672,M,32.5,working,it,30 to 45 mins,529796,1052.08,5566.26
673,F,42.5,working,construction,not commuting,529796,1052.08,5566.26
674,F,8,student,undef,not commuting,529796,1052.08,5566.26
675,F,72.5,retired,undef,not commuting,529796,1052.08,5566.26
676,F,62.5,retired,undef,not commuting,529796,1051.19,5565.85
677,F,42.5,working,industry,not commuting,529796,1051.19,5565.85
678,M,27.5,working,publicsector,not commuting,529796,1051.19,5565.85
679,M,52.5,at home,undef,not commuting,529796,1051.19,5565.85
680,M,37.5,working,publicsector,not commuting,529796,1051.19,5565.85
681,F,47.5,working,transportation,15 to 30 min,529796,1051.45,5565.72
682,F,27.5,at home,undef,not commuting,529796,1051.45,5565.72
683,M,5.5,at home,undef,not commuting,529796,1051.45,5565.72
684,F,22.5,at home,undef,not commuting,529796,1051.45,5565.72
685,M,42.5,working,construction,not commuting,529796,1051.45,5565.72
686,F,57.5,at home,undef,not commuting,529796,1051.6,5566.21
687,M,42.5,working,health,not commuting,529796,1051.6,5566.21
688,F,52.5,working,publicsector,not commuting,529796,1051.6,5566.21
689,F,67.5,retired,undef,not commuting,529796,1051.6,5566.21
690,F,16.5,student,undef,not commuting,529796,1051.6,5566.21
691,M,37.5,at home,undef,not commuting,529796,1051.47,5565.88
692,M,27.5,working,adminetc,not commuting,529796,1051.47,5565.88
693,F,32.5,working,industry,not commuting,529796,1051.47,5565.88
694,M,32.5,at home,undef,not commuting,529796,1051.47,5565.88
695,F,42.5,working,industry,not commuting,529796,1051.47,5565.88
696,M,22.5,at home,undef,not commuting,529796,1052.26,5566.49
697,F,62.5,retired,undef,not commuting,529796,1052.26,5566.49
698,M,62.5,working,industry,not commuting,529796,1052.26,5566.49
699,F,67.5,retired,undef,not commuting,529796,1052.26,5566.49
700,M,62.5,working,adminetc,45 to 60 mins,529796,1052.26,5566.49
701,M,12.5,student,undef,not commuting,529796,1051.36,5566.41
702,F,57.5,at home,undef,not commuting,529796,1051.36,5566.41
703,F,32.5,at home,undef,not commuting,529796,1051.36,5566.41
704,F,72.5,retired,undef,not commuting,529796,1051.36,5566.41
705,M,16.5,student,undef,more than 90 mins,529796,1051.36,5566.41
706,M,57.5,at home,undef,not commuting,529796,1051.3,5566.67
707,M,16.5,student,undef,not commuting,529796,1051.3,5566.67
708,M,19,student,undef,45 to 60 mins,529796,1051.3,5566.67
709,F,42.5,working,education,45 to 60 mins,529796,1051.3,5566.67
710,F,22.5,working,education,not commuting,529796,1051.3,5566.67
711,M,16.5,student,undef,60 to 90 mins,529796,1051.26,5566.75
712,F,52.5,working,industry,less than 15min,529796,1051.26,5566.75
713,M,12.5,student,undef,not commuting,529796,1051.26,5566.75
714,F,62.5,retired,undef,not commuting,529796,1051.26,5566.75
715,F,37.5,working,industry,not commuting,529796,1051.26,5566.75
716,M,5.5,at home,undef,not commuting,529796,1051.75,5565.76
717,F,62.5,working,publicsector,not commuting,529796,1051.75,5565.76
718,F,57.5,working,construction,15 to 30 min,529796,1051.75,5565.76
719,M,52.5,working,industry,not commuting,529796,1051.75,5565.76
720,M,62.5,retired,undef,not commuting,529796,1051.75,5565.76
721,F,12.5,student,undef,not commuting,529796,1052.06,5565.67
722,M,16.5,student,undef,more than 90 mins,529796,1052.06,5565.67
723,M,16.5,student,undef,less than 15min,529796,1052.06,5565.67
724,F,32.5,working,transportation,not commuting,529796,1052.06,5565.67
725,M,62.5,retired,undef,not commuting,529796,1052.06,5565.67
726,F,22.5,working,industry,not commuting,529796,1052.23,5566.02
727,F,27.5,working,industry,not commuting,529796,1052.23,5566.02
728,F,77.5,retired,undef,not commuting,529796,1052.23,5566.02
729,F,12.5,student,undef,not commuting,529796,1052.23,5566.02
730,M,19,working,adminetc,not commuting,529796,1052.23,5566.02
731,F,1.5,at home,undef,not commuting,529796,1052.06,5566.26
732,F,19,student,undef,not commuting,529796,1052.06,5566.26
733,M,37.5,at home,undef,not commuting,529796,1052.06,5566.26
734,M,37.5,working,agriculture,45 to 60 mins,529796,1052.06,5566.26
735,F,62.5,retired,undef,not commuting,529796,1052.06,5566.26
736,M,37.5,working,agriculture,not commuting,529796,1051.9,5565.68
737,M,72.5,retired,undef,not commuting,529796,1051.9,5565.68
738,F,37.5,at home,undef,not commuting,529796,1051.9,5565.68
739,M,82.5,retired,undef,not commuting,529796,1051.9,5565.68
740,F,47.5,working,construction,45 to 60 mins,529796,1051.9,5565.68
741,F,77.5,retired,undef,not commuting,529796,1052.21,5566.58
742,F,67.5,retired,undef,not commuting,529796,1052.21,5566.58
743,M,1.5,at home,undef,not commuting,529796,1052.21,5566.58
744,M,37.5,working,tradeandmoto,not commuting,529796,1052.21,5566.58
745,M,19,working,health,45 to 60 mins,529796,1052.21,5566.58
746,F,32.5,working,industry,not commuting,529796,1052.21,5566.58
747,M,32.5,working,eatinghousing,not commuting,529796,1052.21,5566.58
748,M,8,student,undef,not commuting,529796,1051.49,5566.44
749,F,62.5,retired,undef,not commuting,529796,1051.49,5566.44
750,F,52.5,working,publicsector,not commuting,529796,1051.49,5566.44
751,F,12.5,student,undef,not commuting,529796,1051.49,5566.44
752,F,12.5,student,undef,not commuting,529796,1051.49,5566.44
753,F,72.5,retired,undef,not commuting,529796,1051.49,5566.44
754,F,42.5,working,industry,less than 15min,529796,1051.49,5566.44
755,F,42.5,working,adminetc,15 to 30 min,529796,1052.17,5566.24
756,F,37.5,working,health,30 to 45 mins,529796,1052.17,5566.24
757,F,88,retired,undef,not commuting,529796,1052.17,5566.24
758,M,82.5,retired,undef,not commuting,529796,1052.17,5566.24
759,F,42.5,working,industry,15 to 30 min,529796,1052.17,5566.24
760,M,62.5,retired,undef,not commuting,529796,1052.17,5566.24
761,F,8,student,undef,not commuting,529796,1052.17,5566.24
762,M,22.5,at home,undef,not commuting,529796,1051.98,5566.4
763,M,1.5,at home,undef,not commuting,529796,1051.98,5566.4
764,F,27.5,working,eatinghousing,not commuting,529796,1051.98,5566.4
765,M,72.5,retired,undef,not commuting,529796,1051.98,5566.4
766,F,57.5,at home,undef,not commuting,529796,1051.98,5566.4
767,F,32.5,working,industry,not commuting,529796,1051.98,5566.4
768,F,32.5,at home,undef,not commuting,529796,1051.98,5566.4
769,F,1.5,at home,undef,not commuting,529796,1051.44,5565.81
770,M,12.5,student,undef,not commuting,529796,1051.44,5565.81
771,M,22.5,at home,undef,not commuting,529796,1051.44,5565.81
772,F,32.5,working,tradeandmoto,45 to 60 mins,529796,1051.44,5565.81
773,F,22.5,at home,undef,not commuting,529796,1051.44,5565.81
774,M,12.5,student,undef,not commuting,529796,1051.44,5565.81
775,M,47.5,working,banks,30 to 45 mins,529796,1051.44,5565.81
776,M,62.5,retired,undef,not commuting,529796,1052.18,5565.84
777,M,52.5,working,agriculture,30 to 45 mins,529796,1052.18,5565.84
778,F,32.5,at home,undef,not commuting,529796,1052.18,5565.84
779,F,67.5,retired,undef,not commuting,529796,1052.18,5565.84
780,M,47.5,working,it,15 to 30 min,529796,1052.18,5565.84
781,F,72.5,retired,undef,not commuting,529796,1052.18,5565.84
782,F,57.5,at home,undef,not commuting,529796,1052.18,5565.84
783,F,16.5,working,banks,more than 90 mins,529796,1051.83,5566.18
784,F,88,retired,undef,not commuting,529796,1051.83,5566.18
785,M,1.5,at home,undef,not commuting,529796,1051.83,5566.18
786,F,72.5,retired,undef,not commuting,529796,1051.83,5566.18
787,F,57.5,at home,undef,not commuting,529796,1051.83,5566.18
788,F,77.5,retired,undef,not commuting,529796,1051.83,5566.18
789,F,22.5,working,tradeandmoto,not commuting,529796,1051.83,5566.18
790,M,37.5,working,health,not commuting,529796,1051.57,5566.32
791,M,27.5,working,publicsector,less than 15min,529796,1051.57,5566.32
792,F,47.5,working,transportation,not commuting,529796,1051.57,5566.32
793,F,32.5,at home,undef,not commuting,529796,1051.57,5566.32
794,M,62.5,working,transportation,not commuting,529796,1051.57,5566.32
795,F,22.5,working,construction,not commuting,529796,1051.57,5566.32
796,M,62.5,retired,undef,not commuting,529796,1051.57,5566.32
797,M,62.5,retired,undef,not commuting,529796,1052.11,5566.56
798,F,72.5,retired,undef,not commuting,529796,1052.11,5566.56
799,F,8,student,undef,not commuting,529796,1052.11,5566.56
800,F,3.5,at home,undef,not commuting,529796,1052.11,5566.56
801,M,72.5,working,publicsector,not commuting,529796,1052.11,5566.56
802,F,77.5,working,industry,not commuting,529796,1052.11,5566.56
803,M,32.5,working,tradeandmoto,15 to 30 min,529796,1052.11,5566.56
804,F,16.5,working,industry,not commuting,529796,1051.15,5566.26
805,F,42.5,at home,undef,not commuting,529796,1051.15,5566.26
806,F,62.5,retired,undef,not commuting,529796,1051.15,5566.26
807,F,32.5,working,construction,not commuting,529796,1051.15,5566.26
808,F,62.5,retired,undef,not commuting,529796,1051.15,5566.26
809,M,3.5,at home,undef,not commuting,529796,1051.15,5566.26
810,F,12.5,student,undef,not commuting,529796,1051.15,5566.26
811,M,67.5,retired,undef,not commuting,529796,1051.53,5565.92
812,M,32.5,working,eatinghousing,not commuting,529796,1051.53,5565.92
813,M,12.5,student,undef,not commuting,529796,1051.53,5565.92
814,M,67.5,retired,undef,not commuting,529796,1051.53,5565.92
815,M,72.5,retired,undef,not commuting,529796,1051.53,5565.92
816,M,1.5,at home,undef,not commuting,529796,1051.53,5565.92
817,F,32.5,working,publicsector,15 to 30 min,529796,1051.53,5565.92
818,M,72.5,retired,undef,not commuting,529796,1051.61,5566.71
819,F,72.5,retired,undef,not commuting,529796,1051.61,5566.71
820,F,12.5,student,undef,not commuting,529796,1051.61,5566.71
821,M,22.5,working,health,15 to 30 min,529796,1051.61,5566.71
822,M,77.5,retired,undef,not commuting,529796,1051.61,5566.71
823,M,52.5,working,transportation,not commuting,529796,1051.61,5566.71
824,M,57.5,working,banks,not commuting,529796,1051.61,5566.71
825,F,8,student,undef,not commuting,529796,1052.15,5565.75
826,M,62.5,retired,undef,not commuting,529796,1052.15,5565.75
827,F,57.5,working,tradeandmoto,not commuting,529796,1052.15,5565.75
828,M,62.5,retired,undef,not commuting,529796,1052.15,5565.75
829,F,67.5,retired,undef,not commuting,529796,1052.15,5565.75
830,F,37.5,working,transportation,not commuting,529796,1052.15,5565.75
831,F,27.5,working,it,not commuting,529796,1052.15,5565.75
832,M,37.5,working,construction,not commuting,529796,1052.09,5566.75
833,M,52.5,working,adminetc,30 to 45 mins,529796,1052.09,5566.75
834,F,72.5,retired,undef,not commuting,529796,1052.09,5566.75
835,F,72.5,retired,undef,not commuting,529796,1052.09,5566.75
836,F,1.5,at home,undef,not commuting,529796,1052.09,5566.75
837,F,37.5,at home,undef,not commuting,529796,1052.09,5566.75
838,M,1.5,at home,undef,not commuting,529796,1052.09,5566.75
839,M,19,student,undef,more than 90 mins,529796,1051.73,5566.76
840,M,1.5,at home,undef,not commuting,529796,1051.73,5566.76
841,F,72.5,retired,undef,not commuting,529796,1051.73,5566.76
842,F,22.5,at home,undef,not commuting,529796,1051.73,5566.76
843,M,37.5,working,publicsector,not commuting,529796,1051.73,5566.76
844,F,72.5,retired,undef,not commuting,529796,1051.73,5566.76
845,F,27.5,working,construction,15 to 30 min,529796,1051.73,5566.76
846,F,67.5,retired,undef,not commuting,529796,1052.16,5566.21
847,F,19,student,undef,30 to 45 mins,529796,1052.16,5566.21
848,F,42.5,working,health,not commuting,529796,1052.16,5566.21
849,F,57.5,working,it,not commuting,529796,1052.16,5566.21
850,F,22.5,at home,undef,not commuting,529796,1052.16,5566.21
851,M,67.5,retired,undef,not commuting,529796,1052.16,5566.21
852,M,62.5,working,health,more than 90 mins,529796,1052.16,5566.21
853,F,62.5,working,adminetc,15 to 30 min,529796,1052.3,5566.23
854,F,52.5,working,tradeandmoto,45 to 60 mins,529796,1052.3,5566.23
855,M,22.5,at home,undef,not commuting,529796,1052.3,5566.23
856,M,32.5,working,industry,not commuting,529796,1052.3,5566.23
857,F,47.5,working,construction,not commuting,529796,1052.3,5566.23
858,M,27.5,working,transportation,not commuting,529796,1052.3,5566.23
859,F,16.5,student,undef,30 to 45 mins,529796,1052.3,5566.23
